FIPS,State,County,% Limited Access,% Diabetic,% Rural,Household Income,Mentally Unhealthy Days,Food Environment Index,Income Ratio
21000,Kentucky,,5.5826969697,12.8,41.619526535,46610.0,4.8056670225,7.0,5.1416323538
21001,Kentucky,Adair,5.2635308499,16.1,75.455617496,33925.0,4.6737809882,7.4,5.354389022
21003,Kentucky,Allen,0.4939387915,13.5,78.698135899,41368.0,4.5106687243,8.3,4.8539984449
21005,Kentucky,Anderson,5.9758868164,13.3,41.697399748,57448.0,4.0452519082,8.2,3.7094245993
21007,Kentucky,Ballard,1.6672695833,12.4,100.0,45074.0,4.4422992963,8.1,4.5210209463
21009,Kentucky,Barren,3.6929609844,14.0,63.275081213,40274.0,4.6177099384,7.7,4.9264364854
21011,Kentucky,Bath,0.0617440532,14.6,100.0,36468.0,4.7367714275,7.6,5.0051216389
21013,Kentucky,Bell,11.856749498,16.2,62.479523195,26014.0,5.474542088,5.7,5.6583660987
21015,Kentucky,Boone,6.177190637,11.6,13.272340103,72942.0,3.8224514263,8.3,3.7745795903
21017,Kentucky,Bourbon,7.7161122947,15.0,44.748561421,46231.0,4.4345504309,7.5,4.6670900815
21019,Kentucky,Boyd,9.4672465414,15.8,25.317912075,44569.0,4.4937235475,7.0,4.9549378453
21021,Kentucky,Boyle,12.471479234,12.0,34.819921216,44834.0,4.3800040435,6.9,4.8885108756
21023,Kentucky,Bracken,0.2217718029,14.5,100.0,47182.0,4.4225276741,8.2,5.3667386884
21025,Kentucky,Breathitt,8.9299232239,16.6,81.503098429,26659.0,5.1627125403,6.3,5.6202140997
21027,Kentucky,Breckinridge,4.0207666581,15.1,100.0,43053.0,4.3303625591,7.9,4.5334982138
21029,Kentucky,Bullitt,9.0660911077,14.3,30.413487803,63570.0,4.1485639191,8.0,3.6738524438
21031,Kentucky,Butler,4.288699898,14.0,100.0,41701.0,4.6382990113,7.4,5.0024937656
21033,Kentucky,Caldwell,4.293119113,13.8,54.636475662,40327.0,4.404969287,7.6,5.1165975625
21035,Kentucky,Calloway,4.7756973389,11.3,48.718776048,39438.0,4.4043993326,7.4,6.6148086522
21037,Kentucky,Campbell,7.675752511,11.0,15.296227418,61490.0,4.2024730259,7.7,4.7758437247
