FIPS,State,County,% Limited Access to Healthy Foods,% Adults with Diabetes,Parish,Borough
15000,Hawaii,,6.9422098594,10.3,,
15001,Hawaii,Hawaii,13.313355422,10.3,,
15003,Hawaii,Honolulu,5.2358179778,10.4,,
15005,Hawaii,Kalawao,0.0,10.2,,
15007,Hawaii,Kauai,10.719193887,9.7,,
15009,Hawaii,Maui,8.1990565479,9.9,,
1000,Alabama,,7.9214249526,14.2,,
1001,Alabama,Autauga,11.991125,11.1,,
1003,Alabama,Baldwin,5.424426597,10.7,,
1005,Alabama,Barbour,10.739666573,17.6,,
1007,Alabama,Bibb,2.6016270077,14.5,,
1009,Alabama,Blount,2.8801498232,17.0,,
1011,Alabama,Bullock,19.743350741,23.7,,
1013,Alabama,Butler,2.9261219306,19.2,,
1015,Alabama,Calhoun,9.178566583,17.5,,
1017,Alabama,Chambers,10.328558281,19.9,,
1019,Alabama,Cherokee,0.2211124003,15.2,,
1021,Alabama,Chilton,1.4605309614,18.6,,
1023,Alabama,Choctaw,7.2904190524,17.4,,
1025,Alabama,Clarke,11.154712303,22.4,,
1027,Alabama,Clay,2.3268798802,13.5,,
1029,Alabama,Cleburne,2.0717157696,12.5,,
1031,Alabama,Coffee,5.9812031395,16.1,,
1033,Alabama,Colbert,6.5517045351,16.2,,
1035,Alabama,Conecuh,13.229776262,25.9,,
1037,Alabama,Coosa,10.124807485,20.8,,
1039,Alabama,Covington,4.3703267511,15.3,,
1041,Alabama,Crenshaw,17.03906038,18.2,,
1043,Alabama,Cullman,3.1096062497,19.3,,
1045,Alabama,Dale,10.559380333,15.8,,
1047,Alabama,Dallas,11.556270932,15.9,,
1049,Alabama,DeKalb,2.1669646088,12.8,,
1051,Alabama,Elmore,6.9430217138,15.8,,
1053,Alabama,Escambia,7.2199400283,18.8,,
1055,Alabama,Etowah,9.4006166263,15.7,,
1057,Alabama,Fayette,1.3544586987,23.3,,
1059,Alabama,Franklin,4.1206193939,14.8,,
1061,Alabama,Geneva,0.9307847981,16.9,,
1063,Alabama,Greene,21.342475717,14.5,,
1065,Alabama,Hale,4.6475069881,17.8,,
1067,Alabama,Henry,2.1421679703,16.6,,
1069,Alabama,Houston,6.2826059381,13.5,,
1071,Alabama,Jackson,3.2725105417,16.5,,
1073,Alabama,Jefferson,12.271590614,12.9,,
1075,Alabama,Lamar,0.7506765904,18.8,,
1077,Alabama,Lauderdale,5.0380740879,13.8,,
1079,Alabama,Lawrence,2.1224881728,19.3,,
1081,Alabama,Lee,12.249503723,9.0,,
1083,Alabama,Limestone,3.5183538564,13.8,,
1085,Alabama,Lowndes,13.062144953,13.9,,
1087,Alabama,Macon,21.63866443,23.0,,
1089,Alabama,Madison,7.4673451232,13.5,,
1091,Alabama,Marengo,12.628970654,17.6,,
1093,Alabama,Marion,3.2545426264,20.4,,
1095,Alabama,Marshall,5.187505411,11.8,,
1097,Alabama,Mobile,10.265925301,14.0,,
1099,Alabama,Monroe,12.839526662,18.4,,
1101,Alabama,Montgomery,14.572141064,13.9,,
1103,Alabama,Morgan,4.0842018116,12.7,,
1105,Alabama,Perry,4.8851175077,15.8,,
1107,Alabama,Pickens,0.8921588404,15.0,,
1109,Alabama,Pike,6.3043445736,12.3,,
1111,Alabama,Randolph,6.8154830831,16.5,,
1113,Alabama,Russell,5.5467032283,19.0,,
1115,Alabama,St. Clair,1.5678584072,13.8,,
1117,Alabama,Shelby,4.3024797992,10.5,,
1119,Alabama,Sumter,10.372885631,20.5,,
1121,Alabama,Talladega,5.8546645943,16.3,,
1123,Alabama,Tallapoosa,4.3249543956,15.9,,
1125,Alabama,Tuscaloosa,6.4940425646,11.9,,
1127,Alabama,Walker,5.2100697439,14.2,,
1129,Alabama,Washington,3.5835658857,16.6,,
1131,Alabama,Wilcox,30.464746029,19.9,,
1133,Alabama,Winston,2.6550128463,19.5,,
31000,Nebraska,,5.6451256139,9.4,,
31001,Nebraska,Adams,9.2913527348,11.0,,
31003,Nebraska,Antelope,7.4757021407,9.5,,
31005,Nebraska,Arthur,44.117647674,3.8,,
31007,Nebraska,Banner,44.574629182,9.6,,
31009,Nebraska,Blaine,34.680134692,6.9,,
31011,Nebraska,Boone,5.5473632234,10.7,,
31013,Nebraska,Box Butte,12.949309151,11.1,,
31015,Nebraska,Boyd,41.22308258,16.0,,
31017,Nebraska,Brown,4.3394255866,8.6,,
31019,Nebraska,Buffalo,7.8794296563,8.4,,
31021,Nebraska,Burt,0.2607160901,10.7,,
31023,Nebraska,Butler,5.2770843324,9.5,,
31025,Nebraska,Cass,5.2281752507,11.7,,
31027,Nebraska,Cedar,4.749342037,8.8,,
31029,Nebraska,Chase,11.916268482,7.6,,
31031,Nebraska,Cherry,14.922072106,7.8,,
31033,Nebraska,Cheyenne,5.9619781063,8.8,,
31035,Nebraska,Clay,14.521267391,9.8,,
31037,Nebraska,Colfax,6.4906899257,6.7,,
31039,Nebraska,Cuming,1.2130782676,9.6,,
31041,Nebraska,Custer,17.039872778,11.0,,
31043,Nebraska,Dakota,7.8197825406,10.9,,
31045,Nebraska,Dawes,8.7080129254,7.6,,
31047,Nebraska,Dawson,11.895361622,11.4,,
31049,Nebraska,Deuel,9.7734703806,12.0,,
31051,Nebraska,Dixon,10.280121264,9.2,,
31053,Nebraska,Dodge,8.9355044047,12.0,,
31055,Nebraska,Douglas,3.1212800979,8.8,,
31057,Nebraska,Dundy,10.924795048,7.3,,
31059,Nebraska,Fillmore,5.7940506537,12.8,,
31061,Nebraska,Franklin,15.19008837,6.4,,
31063,Nebraska,Frontier,31.603234178,11.1,,
31065,Nebraska,Furnas,9.6150246547,10.3,,
31067,Nebraska,Gage,7.8286697118,10.9,,
31069,Nebraska,Garden,33.282649601,12.4,,
31071,Nebraska,Garfield,3.010833241,6.8,,
31073,Nebraska,Gosper,21.342964171,6.9,,
31075,Nebraska,Grant,47.124600601,7.2,,
31077,Nebraska,Greeley,40.070948844,10.0,,
31079,Nebraska,Hall,10.961779774,10.3,,
31081,Nebraska,Hamilton,2.750913276,9.4,,
31083,Nebraska,Harlan,1.824655053,11.1,,
31085,Nebraska,Hayes,32.576419332,8.0,,
31087,Nebraska,Hitchcock,44.358740097,10.2,,
31089,Nebraska,Holt,8.8177470023,10.2,,
31091,Nebraska,Hooker,5.7633856946,8.7,,
31093,Nebraska,Howard,5.0368238344,11.1,,
31095,Nebraska,Jefferson,5.7876785517,9.7,,
31097,Nebraska,Johnson,7.7608507491,10.0,,
31099,Nebraska,Kearney,2.4657746226,10.0,,
31101,Nebraska,Keith,6.1318871477,9.7,,
