FIPS,State,County,% Limited Access to Healthy Foods,% Adults with Diabetes,Average Number of Mentally Unhealthy Days,Food Environment Index,Parish,Borough
4000,Arizona,,7.5437644446,9.6,4.0320807239,6.8,,
4001,Arizona,Apache,47.39151395,16.3,6.1288704914,2.2,,
4003,Arizona,Cochise,14.470191804,10.3,4.3909560146,6.7,,
4005,Arizona,Coconino,13.831680319,7.7,4.5588146406,6.8,,
4007,Arizona,Gila,15.826684138,13.7,5.0099950229,5.9,,
4009,Arizona,Graham,19.00577286,12.0,4.6319872037,6.2,,
4011,Arizona,Greenlee,30.546449341,11.5,4.1774409726,5.8,,
4012,Arizona,La Paz,18.95471346,17.8,4.9694949429,5.7,,
4013,Arizona,Maricopa,4.3994726153,8.7,4.0263009285,8.0,,
4015,Arizona,Mohave,20.01212971,14.0,4.8095361624,5.7,,
4017,Arizona,Navajo,25.005407877,15.1,5.0313583961,4.6,,
4019,Arizona,Pima,7.6811171817,8.7,4.4827404632,7.5,,
4021,Arizona,Pinal,7.2032499213,13.4,4.5819393949,7.7,,
4023,Arizona,Santa Cruz,12.807902716,9.3,4.1848327013,6.7,,
4025,Arizona,Yavapai,12.606566425,10.9,4.3560350361,7.0,,
4027,Arizona,Yuma,9.5970112012,12.0,4.0150985254,6.3,,
22000,Louisiana,,9.5266673515,13.0,5.0119569865,5.2,,
22001,Louisiana,,0.6019980049,13.3,5.6153292392,7.3,Acadia,
22003,Louisiana,,11.548553011,13.5,5.3035656306,6.7,Allen,
22005,Louisiana,,8.0983133447,13.0,4.7591044136,7.9,Ascension,
22007,Louisiana,,14.313555415,20.1,5.4230098132,6.3,Assumption,
22009,Louisiana,,9.3407157301,11.8,5.8408888017,6.4,Avoyelles,
22011,Louisiana,,13.795462608,14.4,5.0805040454,6.6,Beauregard,
22013,Louisiana,,12.237310608,21.0,5.5422784662,5.8,Bienville,
22015,Louisiana,,7.9291347555,9.9,4.8642722393,7.5,Bossier,
22017,Louisiana,,14.140473276,13.5,5.2113950214,6.1,Caddo,
22019,Louisiana,,9.2951433032,11.9,4.9988093739,7.2,Calcasieu,
22021,Louisiana,,3.2332510242,12.4,5.6933194623,7.1,Caldwell,
22023,Louisiana,,5.9952900141,8.9,5.2203055487,8.3,Cameron,
22025,Louisiana,,10.599468362,10.1,5.4447074425,6.6,Catahoula,
22027,Louisiana,,7.0959496523,25.4,5.4675985665,6.2,Claiborne,
22029,Louisiana,,14.699939095,18.7,5.7373136913,5.8,Concordia,
