FIPS,State,County,% Limited Access,Diabetes,Rural,Household Income,African American,Asian,Hispanic,% Binge Drinking,Physical Inactivity,Mentally Unhealthy Days,% Obese,% Excessive Drinking,PCP Ratio,% Fair/Poor,% Physically Inactive
55000,Wisconsin,,,7.4,31.7,52103.0,6.0,2.1,5.3,23.2,22.7,3.0,28.2,24.6,1051:1,11.8,
55001,Wisconsin,Adams,,9.7,100.0,38166.0,3.2,0.4,3.1,23.2,23.6,5.3,30.6,25.4,4057:1,19.8,
55003,Wisconsin,Ashland,,9.1,53.5,39355.0,0.6,0.6,2.1,18.6,21.7,4.1,27.4,19.5,676:1,12.5,
55005,Wisconsin,Barron,,8.5,72.1,44522.0,0.4,0.5,1.5,22.7,23.8,3.7,28.6,23.8,951:1,12.3,
55007,Wisconsin,Bayfield,,9.0,100.0,42314.0,0.3,0.4,1.1,22.6,21.7,3.1,28.2,24.1,2982:1,11.6,
55009,Wisconsin,Brown,,7.4,16.1,53558.0,1.9,2.5,6.6,26.0,20.4,3.0,27.4,27.2,1302:1,13.8,
55011,Wisconsin,Buffalo,,9.6,100.0,47198.0,0.3,0.4,1.2,,23.5,2.3,30.1,,2718:1,17.6,
55013,Wisconsin,Burnett,,10.1,100.0,41276.0,0.5,0.3,1.3,19.6,22.1,2.4,29.0,20.2,2661:1,14.6,
55015,Wisconsin,Calumet,,6.9,39.7,63183.0,0.7,2.1,2.5,33.5,19.5,2.4,28.6,34.1,5583:1,12.6,
55017,Wisconsin,Chippewa,,7.8,53.0,50332.0,0.4,0.9,0.9,19.2,19.7,2.9,28.1,20.0,1283:1,12.7,
55019,Wisconsin,Clark,,8.2,92.7,43519.0,0.4,0.4,2.2,25.0,22.1,2.6,28.6,25.0,3722:1,14.6,
55021,Wisconsin,Columbia,,7.8,63.2,57313.0,1.2,0.5,2.2,23.8,24.2,3.0,27.6,26.3,1414:1,10.7,
55023,Wisconsin,Crawford,,9.0,62.8,41646.0,2.2,0.3,1.1,23.4,22.0,3.0,27.6,24.7,1679:1,12.4,
55025,Wisconsin,Dane,,6.3,15.5,61562.0,4.7,4.6,5.1,22.8,17.1,3.0,25.2,24.4,624:1,8.9,
55027,Wisconsin,Dodge,,7.6,52.2,52948.0,3.0,0.4,3.7,27.3,22.2,3.5,30.7,28.4,1597:1,12.2,
55029,Wisconsin,Door,,8.9,68.5,49249.0,0.4,0.4,1.5,21.8,21.4,2.6,27.4,24.9,1161:1,10.0,
55031,Wisconsin,Douglas,,8.3,38.4,45788.0,0.7,0.9,1.1,24.3,21.5,3.5,28.6,26.9,2929:1,13.7,
55033,Wisconsin,Dunn,,6.6,58.5,48144.0,0.5,2.3,1.1,23.6,21.5,2.1,27.9,23.8,1857:1,10.5,
55035,Wisconsin,Eau Claire,,6.9,22.9,48483.0,0.8,2.8,1.4,31.1,22.4,2.4,26.4,32.2,697:1,9.5,
55037,Wisconsin,Florence,,9.0,100.0,40190.0,0.3,0.3,0.7,,24.3,1.7,28.6,,4620:1,16.8,
55039,Wisconsin,Fond du Lac,,8.1,37.9,53499.0,1.4,1.0,3.7,25.4,24.0,3.4,29.6,26.6,1513:1,14.6,
55041,Wisconsin,Forest,,10.2,100.0,38622.0,1.5,0.2,1.9,,25.1,2.3,29.2,,2438:1,11.2,
55043,Wisconsin,Grant,,8.1,65.4,45387.0,1.1,0.8,0.8,25.7,22.1,2.3,27.4,26.8,2338:1,11.0,
55045,Wisconsin,Green,,7.9,57.2,55534.0,0.6,0.4,1.8,22.3,21.6,2.7,27.5,23.5,1502:1,7.2,
55047,Wisconsin,Green Lake,,9.2,74.9,49751.0,0.5,0.5,3.3,21.2,22.9,5.1,27.2,22.9,1426:1,16.3,
55049,Wisconsin,Iowa,,8.6,82.7,56063.0,0.5,0.5,0.9,25.7,20.9,3.7,29.2,28.0,1969:1,7.6,
55051,Wisconsin,Iron,,9.3,68.2,35010.0,0.2,0.2,0.9,,22.2,2.4,27.3,,2068:1,8.1,
55053,Wisconsin,Jackson,,8.8,70.7,45142.0,2.5,0.2,3.0,16.0,24.1,3.6,30.1,17.1,865:1,13.1,
55055,Wisconsin,Jefferson,,8.0,42.2,55765.0,0.7,0.5,6.1,22.4,25.0,3.9,30.0,23.5,2178:1,12.6,
55057,Wisconsin,Juneau,,8.9,85.1,44171.0,2.6,0.5,2.2,20.4,25.2,2.8,28.9,21.5,1400:1,14.8,
55059,Wisconsin,Kenosha,,7.9,11.4,55726.0,6.1,1.5,10.1,20.2,23.0,3.6,28.1,21.8,1933:1,13.2,
55061,Wisconsin,Kewaunee,,8.3,82.4,54879.0,0.4,0.2,1.8,30.0,22.2,2.8,30.7,30.6,3387:1,9.2,
55063,Wisconsin,La Crosse,,7.3,17.0,48754.0,1.3,3.5,1.2,21.8,19.3,3.0,26.4,23.3,571:1,9.6,
55065,Wisconsin,Lafayette,,8.3,100.0,47796.0,0.4,0.2,1.7,16.1,23.7,1.7,29.9,16.2,3162:1,14.3,
55067,Wisconsin,Langlade,,9.0,56.9,41799.0,0.4,0.3,1.4,19.4,24.4,3.9,30.1,21.0,2017:1,19.3,
55069,Wisconsin,Lincoln,,9.1,55.1,47660.0,0.6,0.6,1.4,24.6,23.4,2.9,29.5,25.0,1342:1,14.2,
55071,Wisconsin,Manitowoc,,8.2,39.1,50150.0,0.7,2.4,2.9,22.7,22.4,2.6,30.1,24.5,1415:1,14.2,
55073,Wisconsin,Marathon,,8.7,44.9,54804.0,0.6,5.1,1.5,24.7,24.3,2.5,28.2,25.2,1101:1,11.0,
55075,Wisconsin,Marinette,,8.5,59.8,42784.0,0.4,0.4,1.1,22.5,24.7,3.0,28.4,23.7,1360:1,14.0,
55077,Wisconsin,Marquette,,9.3,100.0,44109.0,0.7,0.3,2.2,21.6,25.9,3.5,30.4,24.4,7441:1,16.8,
55078,Wisconsin,Menominee,,12.6,100.0,34042.0,1.8,0.4,9.2,,29.2,3.6,31.2,,1509:1,17.5,
55079,Wisconsin,Milwaukee,,9.5,0.3,45902.0,25.7,3.2,12.2,21.9,25.5,3.8,30.2,23.7,915:1,14.9,
55081,Wisconsin,Monroe,,8.7,58.4,46970.0,0.9,0.5,3.3,25.9,25.9,2.7,27.5,27.1,1609:1,11.7,
55083,Wisconsin,Oconto,,8.4,80.1,50609.0,0.5,0.3,1.1,30.6,22.0,3.8,27.6,31.6,4146:1,10.8,
55085,Wisconsin,Oneida,,9.2,73.8,43249.0,0.6,0.4,1.0,20.4,22.8,3.0,27.4,22.4,695:1,10.1,
55087,Wisconsin,Outagamie,,8.2,25.9,54779.0,0.9,2.6,2.9,30.2,21.5,2.4,27.6,31.4,1115:1,8.5,
55089,Wisconsin,Ozaukee,,7.9,25.4,70568.0,1.6,1.5,2.1,19.6,18.8,2.9,26.4,22.0,676:1,8.4,
55091,Wisconsin,Pepin,,8.7,100.0,49943.0,0.2,0.2,0.5,18.8,25.7,2.4,29.3,18.9,1472:1,18.6,
55093,Wisconsin,Pierce,,6.8,61.6,65596.0,0.5,0.8,1.2,25.6,19.7,2.6,26.6,26.3,1914:1,8.5,
55095,Wisconsin,Polk,,7.9,93.1,50520.0,0.4,0.3,1.1,22.4,21.3,2.5,26.7,23.0,1028:1,11.7,
55097,Wisconsin,Portage,,7.0,38.2,51050.0,0.6,2.6,2.1,24.0,20.6,2.5,28.1,25.4,1380:1,11.9,
55099,Wisconsin,Price,,9.8,100.0,39646.0,0.2,0.4,1.0,15.5,25.2,3.3,29.8,17.3,1594:1,17.0,
55101,Wisconsin,Racine,,8.4,13.0,55008.0,10.7,0.9,10.7,23.2,24.0,3.4,29.8,24.0,1516:1,11.3,
