FIPS,State,County,% Limited Access,% Diabetic,% Rural,Household Income,% African American,% Asian,% Hispanic,% Binge Drinking,Physical Inactivity,Mentally Unhealthy Days,% Obese,% Excessive Drinking,PCP Ratio,% Fair/Poor,% Physically Inactive
27000.0,Minnesota,,5.8573843928,7.844205782,26.72764038,61473.0,5.6652959325,4.7074923225,5.0760531139,,,2.9,26.333728337,21.2,1097:1,11.6,19.512318375
27001.0,Minnesota,Aitkin,12.000320909,11.9,100.0,40676.0,0.3360598567,0.3297191047,1.1540168664,,,2.9,27.1,17.8,1312:1,12.4,28.7
27003.0,Minnesota,Anoka,6.5816083476,7.6,13.50062265,70868.0,5.2515035219,4.3072683874,4.0220672548,,,2.8,29.6,21.2,1732:1,10.1,19.4
27005.0,Minnesota,Becker,14.050730204,9.8,75.470711297,51116.0,0.4750593824,0.502119727,1.8010162663,,,2.9,29.4,22.2,1146:1,12.2,24.6
27007.0,Minnesota,Beltrami,7.5647164312,9.5,67.089689933,43706.0,0.7117203924,0.7161002102,2.0497547302,,,3.3,28.7,24.1,1087:1,15.1,22.9
27009.0,Minnesota,Benton,6.8549291802,7.5,40.011963278,52531.0,2.4629170253,1.0884422619,1.976914899,,,2.9,28.2,22.8,4357:1,11.4,21.7
27011.0,Minnesota,Big Stone,16.103753244,10.0,100.0,46495.0,0.4095962551,0.1755412522,1.1312658475,,,2.8,29.6,19.2,1024:1,11.2,22.1
27013.0,Minnesota,Blue Earth,16.363143765,7.1,26.892974864,49513.0,3.3662154929,2.3476332492,3.1597461191,,,3.2,28.0,24.8,1008:1,12.3,18.9
27015.0,Minnesota,Brown,7.9031918144,8.5,34.939945159,52272.0,0.3439822869,0.6602878381,3.7442669619,,,2.7,27.8,20.7,938:1,10.4,21.4
27017.0,Minnesota,Carlton,5.4401766274,9.2,55.165884813,53291.0,1.5911838295,0.5228978662,1.7176913778,,,2.8,28.1,21.4,1364:1,11.1,19.5
27019.0,Minnesota,Carver,2.6570479427,6.4,18.827574087,88500.0,1.4680802975,2.9536255111,4.1289116275,,,2.4,24.2,23.0,1086:1,8.6,16.4
27021.0,Minnesota,Cass,6.8628214529,11.2,100.0,45179.0,0.3291431773,0.4131797332,1.6702265485,,,3.3,27.4,18.3,3173:1,14.0,23.8
27023.0,Minnesota,Chippewa,3.1865916919,9.0,50.341612411,51274.0,0.5945499587,0.6193228737,5.7225433526,,,2.9,29.6,19.8,1728:1,11.2,32.6
27025.0,Minnesota,Chisago,1.7424593206,7.4,55.588546403,75122.0,1.2882924572,0.9902822767,1.8824618232,,,2.6,30.1,21.9,1734:1,9.4,23.0
27027.0,Minnesota,Clay,5.3796540342,6.7,27.919117273,55560.0,1.6202721666,1.4391541298,4.2783017329,,,2.8,28.0,23.2,3791:1,11.3,22.6
27029.0,Minnesota,Clearwater,17.277493578,10.8,100.0,43674.0,0.3867591855,0.3981344557,1.5925378228,,,3.2,30.4,20.2,2210:1,14.4,23.7
27031.0,Minnesota,Cook,6.5253814102,10.8,100.0,48593.0,0.4586279381,0.7452703994,1.8536212498,,,3.0,26.4,19.3,743:1,12.1,19.6
27033.0,Minnesota,Cottonwood,12.166904128,9.9,62.274321896,48176.0,0.9197971289,3.2579730078,7.3841657354,,,2.9,29.6,18.2,1936:1,12.4,31.5
27035.0,Minnesota,Crow Wing,2.3333824438,9.5,62.736,50162.0,0.5737769699,0.4615506204,1.3625227219,,,2.8,29.3,21.6,958:1,12.0,20.5
27037.0,Minnesota,Dakota,4.7163295217,7.2,4.9308496758,76269.0,5.419740188,4.8592947405,6.5808706782,,,2.6,25.9,22.8,1423:1,9.4,16.8
27039.0,Minnesota,Dodge,1.2890462472,7.5,51.76482302,68777.0,0.6043335135,0.5306343045,4.9280204392,,,2.6,28.8,23.1,5087:1,9.3,18.3
27041.0,Minnesota,Douglas,9.6938317645,8.7,52.836790802,52298.0,0.5001359065,0.4484914379,1.4351726013,,,2.7,26.3,21.1,831:1,9.7,22.2
27043.0,Minnesota,Faribault,5.3792393855,10.0,77.619734763,48163.0,0.4368658399,0.3804960541,6.2288613303,,,2.9,26.6,18.7,1774:1,12.5,25.6
