FIPS,Percent_change_fast_food_restaurants_2011_2016,FIPS,Percent_change_convenience_stores_2011_2016,FIPS,Metro_nonmetro_counties_2010,FIPS,Persistent_poverty_counties_2010,FIPS,Population_loss_counties_2010,FIPS,Recreation_fitness_facilities_2011,FIPS,Grocery_stores_2011,FIPS,Low_access_to_stores_2010,FIPS,SNAP_benefits_per_capita_2012,FIPS,WIC_redemptions_per_capita_2011
1001,29.226817179,1001,-0.142913998,1001,1,1001,0,1001,0.0,1001,0.072465081,1001,0.090581351,1001,18428.4396853647,1001,18.471487045288086,1001,15.612932205200195
1003,15.893824221,1003,-0.866761189,1003,1,1003,0,1003,0.0,1003,0.085775247,1003,0.14474573,1003,35210.8140777756,1003,15.890722274780273,1003,17.10749626159668
1005,28.45932049,1005,-8.352144868,1005,0,1005,1,1005,0.0,1005,0.073123469,1005,0.219370407,1005,5722.3056022933,1005,31.116222381591797,1005,21.934051513671875
1007,17.243994757,1007,-20.661958435,1007,1,1007,0,1007,0.0,1007,0.0,1007,0.26379424,1007,1044.86732736101,1007,22.435049057006836,1007,21.48293685913086
1009,15.0,1009,-10.0,1009,1,1009,0,1009,0.0,1009,0.0521177,1009,0.121608005,1009,1548.17555923387,1009,20.27230453491211,1009,17.110687255859375
1011,-23.31912652,1011,206.723493918,1011,0,1011,1,1011,0.0,1011,0.0,1011,0.18735363,1011,4089.9835478141,1011,33.89244842529297,1011,
1013,10.734962655,1013,4.583020285,1013,0,1013,1,1013,1.0,1013,0.0,1013,0.143678161,1013,1307.81970553017,1013,32.66789245605469,1013,36.56119155883789
1015,6.942392275,1015,-1.092843733,1015,1,1015,0,1015,0.0,1015,0.067920363,1015,0.20376109,1015,30901.1505851428,1015,29.975231170654297,1015,22.09410285949707
1017,27.261180336,1017,-14.596608422,1017,0,1017,0,1017,1.0,1017,0.0,1017,0.23507978,1017,6748.21322261533,1017,28.581974029541016,1017,11.316189765930176
1019,-10.987347667,1019,6.815182799,1019,0,1019,0,1019,0.0,1019,0.0384719,1019,0.153887585,1019,79.410234562587,1019,27.422502517700195,1019,24.97646141052246
1021,4.42249818,1021,-0.32397901,1021,1,1021,0,1021,0.0,1021,0.0457792,1021,0.160227065,1021,1456.67789105128,1021,28.1759586334228,1021,21.231494903564453
1023,4.268199234,1023,-2.248563218,1023,0,1023,1,1023,1.0,1023,0.0,1023,0.220474756,1023,2612.25386849156,1023,31.942089080810547,1023,
1025,9.437029432,1025,-14.639117043,1025,0,1025,1,1025,0.0,1025,0.07817997,1025,0.195449926,1025,5060.66098327353,1025,33.350563049316406,1025,30.088899612426758
1027,2.073079791,1027,22.487695749,1027,0,1027,0,1027,0.0,1027,0.0,1027,0.219170076,1027,742.771697930452,1027,19.744678497314453,1027,
1029,-37.268876488,1029,33.826396826,1029,0,1029,0,1029,0.0,1029,0.0,1029,0.20096463,1029,146.863495852805,1029,23.725568771362305,1029,20.466106414794922
1031,9.412456368,1031,14.226604448,1031,0,1031,0,1031,0.0,1031,0.0594837,1031,0.099139469,1031,11395.3204024342,1031,16.165163040161133,1031,23.05166244506836
1033,10.837382885,1033,-7.813343461,1033,1,1033,0,1033,0.0,1033,0.091685921,1033,0.183371841,1033,9519.55115267744,1033,22.532634735107422,1033,23.089128494262695
1035,145.862298575,1035,-12.192036223,1035,0,1035,1,1035,0.0,1035,0.0,1035,0.379161295,1035,3725.78157048967,1035,39.97648620605469,1035,
1037,,1037,-22.731057452,1037,0,1037,0,1037,0.0,1037,0.0,1037,0.0,1037,2837.242738337,1037,23.28809356689453,1037,
1039,19.372631932,1039,4.769245983,1039,0,1039,0,1039,0.0,1039,0.052608,1039,0.236736197,1039,3334.14094787191,1039,27.797616958618164,1039,22.461713790893555
1041,99.870568778,1041,-36.404819025,1041,0,1041,0,1041,0.0,1041,0.0,1041,0.431716794,1041,5383.88640028219,1041,27.707914352416992,1041,25.77839469909668
1043,18.341414483,1043,-9.176012722,1043,0,1043,0,1043,0.0,1043,0.0373083,1043,0.161669423,1043,6295.38775878081,1043,18.9764347076416,1043,22.228618621826172
1045,11.3279663,1045,-18.006069265,1045,0,1045,0,1045,0.0,1045,0.0598719,1045,0.159658331,1045,13846.9598442195,1045,27.477279663085938,1045,17.901012420654297
1047,34.901823807,1047,7.921459045,1047,0,1047,1,1047,1.0,1047,0.0231182,1047,0.184945441,1047,7785.59720748858,1047,53.308406829833984,1047,41.67624282836914
1049,2.761407693,1049,8.904752718,1049,0,1049,0,1049,0.0,1049,0.070074138,1049,0.196207588,1049,2679.85266237218,1049,26.102746963500977,1049,26.682174682617188
1051,20.023772157,1051,-8.195637116,1051,1,1051,0,1051,0.0,1051,0.0499963,1051,0.087493438,1051,15011.5049185081,1051,20.399110794067383,1051,19.105304718017578
1053,24.097509363,1053,5.452317069,1053,0,1053,1,1053,0.0,1053,0.0523533,1053,0.15705984,1053,5188.70619109852,1053,34.0209846496582,1053,27.762649536132812
1055,13.614577153,1055,0.154026587,1055,1,1055,0,1055,0.0,1055,0.067079364,1055,0.162907028,1055,24779.1927450907,1055,21.875429153442383,1055,23.434494018554688
1057,-10.650219696,1057,-25.021163381,1057,0,1057,0,1057,0.0,1057,0.0,1057,0.410557185,1057,437.511894058771,1057,28.505664825439453,1057,21.257856369018555
1059,0.601703772,1059,-37.123935143,1059,0,1059,0,1059,0.0,1059,0.094437624,1059,0.188875248,1059,3073.77478904746,1059,27.320634841918945,1059,33.51803970336914
1061,-8.254364432,1061,8.128784777,1061,1,1061,0,1061,0.0,1061,0.0,1061,0.411061286,1061,605.997053221334,1061,29.046592712402344,1061,20.52393913269043
1063,,1063,24.015722732,1063,0,1063,1,1063,1.0,1063,0.0,1063,0.224542495,1063,3286.51496428794,1063,49.04729461669922,1063,
1065,158.604431872,1065,-4.515286694,1065,1,1065,1,1065,0.0,1065,0.0,1065,0.325563224,1065,87.1148587784919,1065,34.04948043823242,1065,29.223073959350586
1067,32.160074889,1067,-18.670723145,1067,1,1067,0,1067,0.0,1067,0.0575506,1067,0.172651934,1067,386.312890581119,1067,24.708087921142578,1067,
1069,25.386183993,1069,-4.331585407,1069,1,1069,0,1069,0.0,1069,0.0487957,1069,0.156146309,1069,21404.3278787737,1069,24.835851669311523,1069,27.214563369750977
1071,9.050061801,1071,10.098620087,1071,0,1071,0,1071,0.0,1071,0.0187928,1071,0.206720289,1071,4855.06252856056,1071,22.5414981842041,1071,19.335996627807617
1073,16.842285411,1073,-0.079087813,1073,1,1073,0,1073,0.0,1073,0.094255149,1073,0.155064922,1073,209261.458662368,1073,24.61500358581543,1073,25.318265914916992
1075,22.907735322,1075,15.226001864,1075,0,1075,0,1075,0.0,1075,0.0,1075,0.279974802,1075,92.3819374105951,1075,26.254825592041016,1075,18.197528839111328
1077,4.732965555,1077,-10.635021452,1077,1,1077,0,1077,0.0,1077,0.064792717,1077,0.205176938,1077,14583.6935167614,1077,18.50922393798828,1077,19.270261764526367
1079,-14.622953779,1079,-2.426232891,1079,1,1079,0,1079,0.0,1079,0.0293712,1079,0.17622698,1079,1349.43848396877,1079,24.567371368408203,1079,19.551088333129883
1081,22.842529275,1081,-4.516055176,1081,1,1081,0,1081,0.0,1081,0.0555105,1081,0.090204487,1081,43794.8074455289,1081,15.91007137298584,1081,13.501198768615723
1083,19.660998709,1083,-3.021992805,1083,1,1083,0,1083,0.0,1083,0.0350754,1083,0.151993453,1083,10137.4569992119,1083,18.053869247436523,1083,16.301740646362305
1085,8.680792891,1085,22.265892003,1085,1,1085,1,1085,0.0,1085,0.08984726,1085,0.179694519,1085,5502.70193352244,1085,52.208187103271484,1085,28.588794708251953
1087,-8.692419158,1087,-3.281599553,1087,0,1087,1,1087,1.0,1087,0.0,1087,0.234918248,1087,7505.70874272613,1087,52.888736724853516,1087,19.684545516967773
1089,5.76856519,1089,-2.003421518,1089,1,1089,0,1089,0.0,1089,0.164939223,1089,0.111923044,1089,110052.12807056,1089,14.795721054077148,1089,14.928847312927246
1091,36.112352144,1091,23.509356575,1091,0,1091,1,1091,1.0,1091,0.096856991,1091,0.242142477,1091,5586.990602225,1091,32.40422439575195,1091,30.603290557861328
1093,-15.381441022,1093,30.88660146,1093,0,1093,0,1093,0.0,1093,0.0,1093,0.195758564,1093,538.091100407343,1093,25.83934783935547,1093,20.958234786987305
1095,12.899274163,1095,23.902169526,1095,0,1095,0,1095,0.0,1095,0.042603,1095,0.234316754,1095,12813.7371768385,1095,23.25748062133789,1095,36.47017288208008
1097,6.973625698,1097,9.220942205,1097,1,1097,0,1097,0.0,1097,0.072598443,1097,0.142776939,1097,112773.596023804,1097,31.458189010620117,1097,24.57821273803711
1099,5.692564435,1099,-7.519006119,1099,0,1099,1,1099,0.0,1099,0.0,1099,0.263157895,1099,7149.03888702212,1099,30.843700408935547,1099,28.66276741027832
1101,25.915408327,1101,10.740834867,1101,1,1101,0,1101,0.0,1101,0.082910779,1101,0.152730383,1101,64259.799305551,1101,32.351051330566406,1101,26.34539031982422
1103,-6.288808161,1103,-3.080961527,1103,1,1103,0,1103,0.0,1103,0.0499971,1103,0.158324098,1103,14009.671768276,1103,19.231035232543945,1103,24.887231826782227
1105,9.425287356,1105,25.057471264,1105,0,1105,1,1105,1.0,1105,0.0,1105,0.38197097,1105,971.662779650747,1105,58.87503433227539,1105,44.16257858276367
1107,11.147756174,1107,-14.257445238,1107,1,1107,1,1107,0.0,1107,0.103337811,1107,0.206675623,1107,851.430655251219,1107,27.537582397460938,1107,27.38373374938965
1109,24.985699232,1109,4.477209885,1109,0,1109,1,1109,0.0,1109,0.0606667,1109,0.242666909,1109,3732.81106262387,1109,31.058935165405273,1109,29.831153869628906
1111,12.306279077,1111,34.767534892,1111,0,1111,0,1111,0.0,1111,0.0439754,1111,0.175901495,1111,1061.0686925223,1111,33.73350524902344,1111,23.00321388244629
1113,5.21156167,1113,-2.975857651,1113,1,1113,0,1113,0.0,1113,0.072948772,1113,0.145897543,1113,8511.76217036558,1113,36.66330337524414,1113,25.492694854736328
