FIPS,State_2011,County_2011,Rural_2011,Household Income_2011,African American_2011,Asian_2011,Hispanic_2011,Obese_2011,PCP Ratio_2011,change_rural,change_obese,change_binge_drinking,change_income,change_physical_inactivity,change_mentally_unhealthy_days,change_fair_poor_health
55000,Wisconsin,,31.7,52103.0,6.0,2.1,5.3,28.2,1051:1,-1.853821373999999,1.2017887410000014,0.10000000000000142,529.0,-1.0283478779999982,0.7000000000000002,3.0999999999999996
55001,Wisconsin,Adams,100.0,38166.0,3.2,0.4,3.1,30.6,4057:1,0.0,0.6999999999999993,-0.6999999999999993,3897.0,1.3999999999999986,-2.0,-6.200000000000001
55003,Wisconsin,Ashland,53.5,39355.0,0.6,0.6,2.1,27.4,676:1,1.3616698639999996,0.40000000000000213,3.5,1939.0,1.1000000000000014,-0.19999999999999973,3.8000000000000007
55005,Wisconsin,Barron,72.1,44522.0,0.4,0.5,1.5,28.6,951:1,-6.172378460999994,4.799999999999997,0.6999999999999993,1853.0,1.0,-0.30000000000000027,0.0
55007,Wisconsin,Bayfield,100.0,42314.0,0.3,0.4,1.1,28.2,2982:1,0.0,0.0,-0.9000000000000021,2081.0,-0.5999999999999979,0.5,1.9000000000000004
55009,Wisconsin,Brown,16.1,53558.0,1.9,2.5,6.6,27.4,1302:1,-1.6056510500000023,-0.1999999999999993,-0.10000000000000142,583.0,0.3000000000000007,0.3999999999999999,-1.6000000000000014
55011,Wisconsin,Buffalo,100.0,47198.0,0.3,0.4,1.2,30.1,2718:1,0.0,2.6999999999999957,,3800.0,2.1999999999999993,1.1,-5.200000000000001
55013,Wisconsin,Burnett,100.0,41276.0,0.5,0.3,1.3,29.0,2661:1,0.0,-0.1999999999999993,0.8999999999999986,534.0,3.6999999999999993,1.3000000000000003,0.0
55015,Wisconsin,Calumet,39.7,63183.0,0.7,2.1,2.5,28.6,5583:1,-12.165336628000002,0.6999999999999993,-7.800000000000001,5247.0,3.3999999999999986,0.7000000000000002,-2.6999999999999993
55017,Wisconsin,Chippewa,53.0,50332.0,0.4,0.9,0.9,28.1,1283:1,-6.8572458539999985,0.3999999999999986,3.6000000000000014,2153.0,0.0,0.5,-1.0
55019,Wisconsin,Clark,92.7,43519.0,0.4,0.4,2.2,28.6,3722:1,-0.9703949259999973,5.100000000000001,-2.8000000000000007,1797.0,-1.0,1.0,-0.40000000000000036
55021,Wisconsin,Columbia,63.2,57313.0,1.2,0.5,2.2,27.6,1414:1,-2.5292629280000014,5.799999999999997,1.8000000000000007,1707.0,-1.1999999999999993,0.2999999999999998,0.20000000000000107
55023,Wisconsin,Crawford,62.8,41646.0,2.2,0.3,1.1,27.6,1679:1,-0.38111030999999684,1.7999999999999972,-0.29999999999999716,1916.0,-0.3000000000000007,0.3999999999999999,0.09999999999999964
