,Percent_change_fast_food_restaurants_2011_2016,Percent_change_convenience_stores_2011_2016,Cluster
Wisconsin,1.584420938714132,1.415579061285868,0
Washington,1.9666430483789845,1.0333569516210157,0
New Hampshire,1.388552509279024,1.6114474907209762,1
Alaska,1.4483686309592507,1.0516313690407493,0
Hawaii,0.5,0.5,2
South Dakota,1.3918443579689264,1.1081556420310734,0
North Carolina,1.4482765414696417,1.5517234585303585,1
Kansas,1.0884796425797363,1.4115203574202637,1
Iowa,1.5428270140526006,1.4571729859473994,0
Arizona,1.2455308441263937,1.754469155873606,1
Massachusetts,1.7113435594700481,1.2886564405299523,0
Florida,1.6154706999583475,1.3845293000416525,0
Indiana,1.3303869901905205,1.6696130098094795,1
Oklahoma,1.57939026186308,1.42060973813692,0
Texas,1.3129840018240058,1.6870159981759942,1
Ohio,1.4559296979327925,1.5440703020672075,1
Utah,1.7031406103450346,1.2968593896549654,0
North Dakota,1.2371629763702794,1.2628370236297204,1
Wyoming,1.8090302932765798,1.1909697067234204,0
Kentucky,1.669870968228271,1.3301290317717291,0
Arkansas,1.7342683250108857,1.2657316749891143,0
West Virginia,1.5632957284121538,1.436704271587846,0
Virginia,1.4936653509423046,1.506334649057696,1
Nebraska,1.0020465712646032,1.497953428735397,1
New Jersey,1.565591017141594,1.434408982858406,0
Colorado,1.2876927801174192,1.2123072198825808,1
New York,1.5031548689869936,1.4968451310130064,1
Michigan,1.6075901046008534,1.3924098953991464,0
Louisiana,1.6701074813905603,1.3298925186094395,0
Maine,1.2958366168166402,1.7041633831833598,1
Mississippi,1.5382482060251743,1.4617517939748257,0
Georgia,1.3858605478089971,1.6141394521910033,1
Alabama,1.6888973285580633,1.3111026714419365,0
Illinois,1.668256184170349,1.331743815829651,0
Pennsylvania,1.3005528535412292,1.6994471464587713,1
Maryland,1.5956049363282394,1.4043950636717606,0
Montana,1.1433758362015054,1.3566241637984948,1
New Mexico,1.7545010486311805,1.2454989513688193,0
Oregon,1.4774665768364537,1.5225334231635463,1
Delaware,0.0,0.0,2
Idaho,1.4073069284724697,1.59269307152753,1
Missouri,1.5164714259701262,1.483528574029874,1
California,1.6389036449638574,1.3610963550361428,0
Minnesota,1.6106027815129824,1.3893972184870176,0
Rhode Island,1.0,1.0,1
Nevada,1.549993021170641,1.450006978829359,0
Vermont,1.7152465713044156,1.2847534286955842,0
South Carolina,1.4162515418406414,1.583748458159359,1
Connecticut,1.5432996027585002,1.4567003972414998,0
Tennessee,1.2488990093748777,1.7511009906251225,1
